key,value
dlg_select_image_filter,"Images disque (*.iso *.dmg *.img *.bin *.raw);;Tous les fichiers (*)"
about_content,"Lufus est un programme d'écriture d'images disque écrit en Python pour Linux.
Inspiré par l'outil original Rufus pour Windows.
Version : v1.0.0b1
GitHub : github.com/hog185/lufus"
about_subtitle,Outil de flash USB
btn_close,Fermer
btn_ok,OK
combo_boot_default,média_d_installation.iso
tooltip_website,Site web
settings_label_theme,Thème
input_hash_placeholder,Saisissez le hachage SHA256 attendu ici...
combo_badblocks_2pass,2 Passes
combo_badblocks_3pass,3 Passes
status_unmounting_all,Démontage de toutes les partitions sur {device}...
status_unmounting,Démontage de {part}...
status_format_starting,Démarrage de l'opération de formatage...
status_format_in_progress,Formatage du lecteur...
status_format_complete,Formatage terminé !
status_format_failed,Formatage ÉCHOUÉ. Consultez le journal ci-dessus pour l'erreur exacte.
status_flash_error,Erreur lors de l'écriture : {error}
acc_device,Sélection de l'appareil
acc_device_desc,Sélectionnez l'appareil USB que vous souhaitez utiliser
acc_refresh,Actualiser les appareils
acc_refresh_desc,Rechercher les appareils USB connectés
acc_boot,Sélecteur d'image de démarrage
acc_boot_desc,Affiche le fichier image actuellement sélectionné
acc_select,Parcourir pour trouver un fichier image
acc_image_option,Sélecteur d'option d'image
acc_image_option_desc,Choisissez le type d'image à écrire : Windows, Linux, Autre ou Formatage uniquement
acc_volume_label,Champ de saisie du nom du volume
acc_volume_label_desc,Entrez un nom pour le volume USB
acc_filesystem,Sélecteur de système de fichiers
acc_cluster,Sélecteur de taille de cluster
acc_flash_option,Sélecteur de méthode de flash
acc_quick_format,Case à cocher pour le formatage rapide
acc_extended_label,Ccase à cocher pour créer une étendue étendue
acc_bad_blocks,Ccase à cocher pour vérifier les blocs défectueux
acc_bad_blocks_passes,Sélecteur du nombre de passes pour la vérification des blocs
acc_verify_hash,Ccase à cocher pour vérifier la somme de contrôle SHA256
acc_hash_input,Champ de saisie du hachage SHA256 attendu
acc_hash_input_desc,Collez ici le hachage SHA256 attendu de 64 caractères
acc_progress,Barre de progression de l'opération
acc_start,Démarrer l'opération
acc_cancel,Annuler l'opération
acc_website,Ouvrir le site web de Lufus
acc_about,À propos de Lufus
acc_settings,Ouvrir les paramètres
acc_log,Ouvrir la fenêtre du journal
